language,product_id,product_parent_id,product_code,product_type_id,product_name,product_scientific_names
EN,217,208.0,0401090,4,Cotton seeds,"Gossypium barbadense, Gossypium herbaceum, "
EN,133,86.0,0240000,2,Brassica vegetables(excluding brassica roots and brassica baby leaf crops),
EN,324,321.0,1012030,4,Liver,
EN,31,29.0,0140020,4,Cherries (sweet),"Cerasus avium; syn: Prunus avium, "
EN,304,266.0,0870000,2,Aril spices,
EN,251,246.0,0631050,4,Lime/linden,"Tilia cordata, Tilia platyphyllos, Tilia tomentosa; syn: Tilia argentea, "
EN,277,267.0,0810990,5,Others (2),
EN,369,312.0,1030000,2,Birds eggs,
EN,289,288.0,0830010,4,Cinnamon,"Cinnamomum verum; syn: Cinnamomum zeylanicum, "
EN,249,246.0,0631030,4,Rose,"Rosa spp., "
EN,260,258.0,0633020,4,Ginseng,"Panax ginseng, Panax quinquefolius, "
EN,322,321.0,1012010,4,Muscle,
EN,143,142.0,0243010,4,Chinese cabbages/pe-tsai,"Brassica rapa subsp. pekinensis, "
EN,178,86.0,0260000,2,Legume vegetables,
EN,244,242.0,0620000,2,Coffee beans,"Coffea arabica, Coffea canephora; syn: Coffea robusta, Coffea liberica, "
EN,224,208.0,0401990,5,Others (2),
EN,226,225.0,0402010,4,Olives for oil production,"Olea europaea var. europaea, "
EN,65,55.0,0162000,3,"(b) inedible peel, small",
EN,332,328.0,1013040,4,Kidney,
EN,234,231.0,0500030,4,Maize/corn,"Zea mays, "
EN,125,121.0,0232990,5,Others (2),
EN,29,1.0,0140000,2,Stone fruits,
EN,124,121.0,0232030,4,Courgettes,"Cucurbita pepo Zucchini Group, "
EN,291,266.0,0840000,2,Root and rhizome spices,
EN,187,185.0,0270020,4,Cardoons,"Cynara cardunculus Cardoon group, "
EN,268,267.0,0810010,4,Anise/aniseed,"Pimpinella anisum, "
EN,243,242.0,0610000,2,Teas,"Camellia sinensis, "
EN,42,40.0,0153020,4,Dewberries,"Rubus caesius, "
EN,190,185.0,0270050,4,Globe artichokes,"Cynara cardunculus Globe artichoke group, "
EN,174,166.0,0256080,4,Basil and edible flowers,"Ocimum basilicum, "
EN,364,363.0,1020010,4,Cattle,"Bos primigenius taurus, "
EN,91,89.0,0212020,4,Sweet potatoes,"Ipomoea batatas, "
EN,84,73.0,0163110,4,Soursops/guanabanas,"Annona muricata, "
EN,106,95.0,0213110,4,Turnips,"Brassica rapa subsp. rapa, "
EN,94,89.0,0212990,5,Others (2),
EN,116,115.0,0231010,4,Tomatoes,"Lycopersicon esculentum, "
EN,355,349.0,1016990,5,Others (2),
EN,145,142.0,0243990,5,Others (2),
EN,333,328.0,1013050,4,Edible offals (other than liver and kidney),
EN,5,2.0,0110030,4,Lemons,"Citrus limon, "
EN,47,45.0,0154020,4,Cranberries,"Vaccinium macrocarpon, "
EN,199,196.0,0280990,4,Mosses and lichens,
EN,85,73.0,0163990,5,Others (2),
EN,354,349.0,1016050,4,Edible offals (other than liver and kidney),
EN,25,22.0,0130030,4,Quinces,"Cydonia oblonga, "
EN,99,95.0,0213040,4,Horseradishes,"Armoracia rusticana, "
EN,305,304.0,0870010,4,Mace,"Myristica fragrans, "
EN,337,335.0,1014020,4,Fat,
EN,239,231.0,0500080,4,Sorghum,"Sorghum bicolor, "
EN,240,231.0,0500090,4,Wheat,"Triticum aestivum, "
EN,67,65.0,0162020,4,Litchis/lychees,"Litchi chinensis, "
EN,189,185.0,0270040,4,Florence fennels,"Foeniculum vulgare var. azoricum, "
EN,334,328.0,1013990,5,Others (2),
